"""0-1-1""";"""Rule""";" ""Required""";"""Unnecessary constructs""";"""A project shall not contain unreachable code"
"""0-1-2""";"""Rule""";" ""Required""";"""Unnecessary constructs""";"""A project shall not contain infeasible paths"""
"""0-1-3""";"""Rule""";" ""Required""";"""Unnecessary constructs""";"""A project shall not contain unused variables"""
"""0-1-4""";"""Rule""";" ""Required""";"""Unnecessary constructs""";"""A project shall not contain non-volatile POD variables having only one use"""
"""0-1-5""";"""Rule""";" ""Required""";"""Unnecessary constructs""";"""A project shall not contain unused type declarations"""
"""0-1-6""";"""Rule""";" ""Required""";"""Unnecessary constructs""";"""A project shall not contain unused type declarations"""
"""0-1-7""";"""Rule""";" ""Required""";"""Unnecessary constructs""";"""The values returned by a function having a non-void return type that is not an overloaded operatro shall always be used"""
"""0-1-8""";"""Rule""";" ""Required""";"""Unnecessary constructs""";"""All functions with void return type shall have external side effect(s)"""
"""0-1-9""";"""Rule""";" ""Required""";"""Unnecessary constructs""";"""There shall be no dead code"""
"""0-1-10""";"""Rule""";" ""Required""";"""Unnecessary constructs""";"""Every define function shall be called at least once"""
"""0-1-11""";"""Rule""";" ""Required""";"""Unnecessary constructs""";"""There shall be no unused parameters (named or unnamed) in non-virtual functions"""
"""0-1-12""";"""Rule""";" ""Required""";"""Unnecessary constructs""";"""There shall be no unused parameters (named or unnamed) in the set of parameters for a virtual function and all the functions that override it"""
"""0-2-1""";"""Rule""";" ""Required""";"""Storage""";"""An object shall not be assigned to an overlapping object"""
"""0-3-1""";"""Rule""";" ""Document""";"""Runtime failures""";"""Minimization of run-time failures shall be ensured by the use of at least on of: (a) static analysis tools/techniques; (b) dynamic analysis tools/techniques; © explicit coding of checks to handle run-time faults"""
"""0-3-2""";"""Rule""";" ""Required""";"""Runtime failures""";"""If a function generates error information, then that error information shall be tested"""
"""0-4-1""";"""Rule""";" ""Document""";"""Arithmetic""";"""Use of scaled-integer or fixed-point arithmetic shall be documented"""
"""0-4-2""";"""Rule""";" ""Document""";"""Arithmetic""";"""Use of floating-point arithmetic shall be documented"""
"""0-4-3""";"""Rule""";" ""Document""";"""Arithmetic""";"""Floating point implementations shall comply with a defined floating-point standard"""
